Category Name,Order Region,actual_demand_7d,actual_stockout_occurred,actual_late_delivery,actual_delay_days
Accessories,Canada,213.7,1,1,1.6
Accessories,Caribbean,585.7,0,1,1.3
Accessories,Central Africa,380.5,0,0,-0.8
Accessories,Central America,373.8,0,1,1.8
Accessories,Central Asia,598.3,0,0,-0.3
Accessories,East Africa,242.5,0,1,5.4
Accessories,East of USA,358.9,0,1,3.8
Accessories,Eastern Asia,382.5,0,0,-0.7
Accessories,Eastern Europe,100.3,0,1,3.1
Accessories,North Africa,315.7,0,1,1.6
As Seen on  TV!,Canada,342.5,0,0,-0.8
As Seen on  TV!,Caribbean,336.4,1,0,-0.4
As Seen on  TV!,Central Africa,183.3,1,1,2.1
As Seen on  TV!,Central America,506.9,1,0,-1.3
As Seen on  TV!,Central Asia,146.6,0,0,-0.8
As Seen on  TV!,East Africa,331.3,1,1,4.3
As Seen on  TV!,East of USA,362.0,0,1,1.7
As Seen on  TV!,Eastern Asia,510.8,0,1,2.6
As Seen on  TV!,Eastern Europe,203.3,1,1,5.3
As Seen on  TV!,North Africa,452.4,0,1,4.7
Baby ,Canada,558.4,0,1,2.6
Baby ,Caribbean,452.7,0,0,-0.7
Baby ,Central Africa,244.4,0,0,-1.6
Baby ,Central America,429.9,1,1,2.1
Baby ,Central Asia,576.9,0,0,-1.0
Baby ,East Africa,253.1,0,0,-0.0
Baby ,East of USA,336.1,0,0,-1.5
Baby ,Eastern Asia,447.5,1,1,4.7
Baby ,Eastern Europe,465.1,0,1,2.6
Baby ,North Africa,465.9,0,0,-1.6
Baseball & Softball,Canada,441.7,0,1,2.9
Baseball & Softball,Caribbean,458.0,0,0,-1.6
Baseball & Softball,Central Africa,528.6,0,0,-0.9
Baseball & Softball,Central America,129.3,0,0,-0.2
Baseball & Softball,Central Asia,142.5,0,0,-0.2
Baseball & Softball,East Africa,219.0,0,1,3.8
Baseball & Softball,East of USA,354.5,1,1,3.3
Baseball & Softball,Eastern Asia,279.5,0,1,2.2
Baseball & Softball,Eastern Europe,389.1,0,0,-0.9
Baseball & Softball,North Africa,545.3,1,1,5.4
Basketball,Canada,497.7,0,1,4.1
Basketball,Caribbean,571.6,0,0,-0.5
Basketball,Central Africa,135.8,0,0,-0.1
Basketball,Central America,470.9,0,0,-0.3
Basketball,Central Asia,295.8,0,0,-1.2
Basketball,East Africa,164.0,1,1,3.8
Basketball,East of USA,441.4,0,1,1.8
Basketball,Eastern Asia,353.7,0,1,4.7
Basketball,Eastern Europe,517.0,1,0,-1.9
Basketball,North Africa,521.9,1,0,-0.8
Books ,Canada,399.7,0,0,-0.8
Books ,Caribbean,462.2,1,1,3.5
Books ,Central Africa,243.4,1,0,-1.9
Books ,Central America,492.9,1,0,-1.7
Books ,Central Asia,458.6,1,1,1.5
Books ,East Africa,350.8,1,1,4.2
