Category Name,Order Region,actual_demand_7d,actual_stockout_occurred,actual_late_delivery,actual_delay_days
Accessories,Canada,226.7,0,0,-1.8
Accessories,Caribbean,649.4,0,0,-1.7
Accessories,Central Africa,368.5,0,0,-1.9
Accessories,Central America,268.2,1,1,4.6
Accessories,Central Asia,492.5,1,1,5.3
Accessories,East Africa,219.4,1,1,5.2
Accessories,East of USA,196.3,1,0,-0.6
Accessories,Eastern Asia,362.5,1,0,-1.1
Accessories,Eastern Europe,661.0,1,1,1.4
Accessories,North Africa,527.6,1,0,-1.5
As Seen on  TV!,Canada,456.2,1,1,5.3
As Seen on  TV!,Caribbean,228.2,1,1,4.6
As Seen on  TV!,Central Africa,238.2,1,0,-0.2
As Seen on  TV!,Central America,357.4,1,1,1.3
As Seen on  TV!,Central Asia,549.0,0,1,1.3
As Seen on  TV!,East Africa,241.4,0,0,-1.5
As Seen on  TV!,East of USA,550.9,1,0,-1.7
As Seen on  TV!,Eastern Asia,537.9,1,1,2.9
As Seen on  TV!,Eastern Europe,195.1,1,1,5.5
As Seen on  TV!,North Africa,501.4,1,0,-0.2
Baby ,Canada,778.3,0,0,-1.4
Baby ,Caribbean,387.7,1,1,4.8
Baby ,Central Africa,180.1,1,1,2.2
Baby ,Central America,324.5,0,1,5.1
Baby ,Central Asia,773.2,1,1,2.5
Baby ,East Africa,458.2,0,1,2.9
Baby ,East of USA,818.9,1,1,3.7
Baby ,Eastern Asia,390.6,0,0,-1.3
Baby ,Eastern Europe,699.9,1,1,2.8
Baby ,North Africa,301.6,0,1,2.6
Baseball & Softball,Canada,634.3,0,0,-0.4
Baseball & Softball,Caribbean,691.6,0,0,-0.2
Baseball & Softball,Central Africa,321.6,0,1,2.3
Baseball & Softball,Central America,290.8,1,0,-0.5
Baseball & Softball,Central Asia,610.1,0,1,4.4
Baseball & Softball,East Africa,297.1,0,1,3.7
Baseball & Softball,East of USA,352.0,0,0,-0.6
Baseball & Softball,Eastern Asia,629.6,1,0,-1.9
Baseball & Softball,Eastern Europe,412.0,0,1,4.0
Baseball & Softball,North Africa,649.0,1,1,3.3
Basketball,Canada,224.0,1,1,4.0
Basketball,Caribbean,751.2,0,1,5.3
Basketball,Central Africa,611.6,1,0,-1.0
Basketball,Central America,305.9,1,1,4.6
Basketball,Central Asia,695.5,1,0,-0.2
Basketball,East Africa,692.7,0,0,-0.5
Basketball,East of USA,723.5,0,1,3.7
Basketball,Eastern Asia,205.2,0,0,-0.1
Basketball,Eastern Europe,484.2,0,0,-1.1
Basketball,North Africa,447.6,0,0,-0.7
Books ,Canada,422.4,0,1,4.5
Books ,Caribbean,368.2,1,1,3.9
Books ,Central Africa,605.0,0,0,-0.9
Books ,Central America,199.1,1,1,4.3
Books ,Central Asia,179.7,0,0,-1.4
Books ,East Africa,232.0,0,1,2.8
Books ,East of USA,489.6,0,0,-0.3
Books ,Eastern Asia,349.9,1,1,4.9
Books ,Eastern Europe,752.5,0,0,-1.3
Books ,North Africa,482.9,1,1,3.4
Boxing & MMA,Canada,254.4,0,0,-0.4
Boxing & MMA,Caribbean,629.5,0,1,2.8
Boxing & MMA,Central Africa,610.0,1,1,3.6
Boxing & MMA,Central America,557.0,0,1,4.3
Boxing & MMA,Central Asia,247.2,0,0,-1.1
Boxing & MMA,East Africa,268.9,0,0,-0.3
Boxing & MMA,East of USA,596.2,1,1,4.4
Boxing & MMA,Eastern Asia,401.8,1,0,-1.6
Boxing & MMA,Eastern Europe,155.7,0,1,3.5
Boxing & MMA,North Africa,459.6,0,0,-0.4
CDs ,Canada,717.9,0,0,-0.5
CDs ,Caribbean,610.7,0,1,1.5
CDs ,Central Africa,693.9,0,0,-1.0
CDs ,Central America,696.4,0,1,3.1
CDs ,Central Asia,274.8,0,1,3.7
CDs ,East Africa,353.7,1,1,4.4
CDs ,East of USA,664.6,0,1,5.3
CDs ,Eastern Asia,465.5,0,0,-1.2
CDs ,Eastern Europe,797.3,1,0,-0.2
CDs ,North Africa,366.2,1,1,4.1
Cameras ,Canada,762.3,0,1,1.7
Cameras ,Caribbean,808.2,0,0,-1.5
Cameras ,Central Africa,536.6,0,0,-0.3
Cameras ,Central America,587.9,1,1,4.5
Cameras ,Central Asia,194.9,1,0,-2.0
Cameras ,East Africa,214.4,0,0,-0.5
Cameras ,East of USA,462.2,0,0,-0.7
Cameras ,Eastern Asia,493.0,0,1,5.3
Cameras ,Eastern Europe,267.9,0,1,1.8
Cameras ,North Africa,260.1,0,0,-1.8
Camping & Hiking,Canada,688.6,0,0,-1.1
Camping & Hiking,Caribbean,483.3,0,0,-0.5
Camping & Hiking,Central Africa,386.0,0,0,-0.5
Camping & Hiking,Central America,256.4,0,0,-1.6
Camping & Hiking,Central Asia,155.8,0,1,3.7
Camping & Hiking,East Africa,703.0,0,0,-1.2
Camping & Hiking,East of USA,677.7,1,1,1.9
Camping & Hiking,Eastern Asia,352.6,0,0,-1.2
Camping & Hiking,Eastern Europe,749.9,0,0,-0.0
Camping & Hiking,North Africa,595.3,0,0,-0.9
Cardio Equipment,Canada,366.8,0,1,3.3
Cardio Equipment,Caribbean,258.4,0,0,-0.2
Cardio Equipment,Central Africa,541.5,0,1,3.3
Cardio Equipment,Central America,779.9,0,0,-1.6
Cardio Equipment,Central Asia,398.4,1,1,4.0
Cardio Equipment,East Africa,787.8,1,1,5.1
Cardio Equipment,East of USA,451.3,0,0,-0.3
Cardio Equipment,Eastern Asia,405.0,1,1,3.3
Cardio Equipment,Eastern Europe,446.6,0,1,4.8
Cardio Equipment,North Africa,596.6,0,0,-1.0
Children's Clothing,Canada,492.2,1,1,3.4
Children's Clothing,Caribbean,473.6,0,0,-0.3
Children's Clothing,Central Africa,174.7,0,0,-1.1
Children's Clothing,Central America,674.6,1,0,-1.7
Children's Clothing,Central Asia,223.2,1,0,-2.0
Children's Clothing,East Africa,172.5,0,0,-0.0
Children's Clothing,East of USA,360.5,1,1,2.6
Children's Clothing,Eastern Asia,761.6,0,0,-0.5
Children's Clothing,Eastern Europe,505.6,0,1,5.1
Children's Clothing,North Africa,797.4,1,1,4.2
Cleats,Canada,284.8,1,1,3.5
Cleats,Caribbean,489.1,0,0,-1.2
Cleats,Central Africa,461.1,0,0,-0.5
Cleats,Central America,351.7,1,1,2.4
Cleats,Central Asia,777.5,1,0,-0.4
Cleats,East Africa,174.2,1,0,-0.1
Cleats,East of USA,575.6,0,0,-0.3
Cleats,Eastern Asia,475.7,1,1,4.3
Cleats,Eastern Europe,312.4,1,1,3.1
Cleats,North Africa,762.0,1,1,3.7
Computers,Canada,565.7,1,1,5.2
Computers,Caribbean,808.4,0,0,-1.7
Computers,Central Africa,474.8,1,1,4.1
Computers,Central America,773.2,0,0,-1.7
Computers,Central Asia,295.3,0,1,5.1
Computers,East Africa,741.1,0,0,-1.4
Computers,East of USA,441.6,0,1,1.5
Computers,Eastern Asia,186.8,1,0,-0.1
Computers,Eastern Europe,752.2,0,0,-1.3
Computers,North Africa,590.9,1,0,-1.2
Consumer Electronics,Canada,263.2,0,0,-0.3
Consumer Electronics,Caribbean,269.2,1,1,3.3
Consumer Electronics,Central Africa,683.6,0,0,-1.9
Consumer Electronics,Central America,309.2,1,0,-0.5
Consumer Electronics,Central Asia,737.0,0,0,-1.3
Consumer Electronics,East Africa,285.1,1,1,3.7
Consumer Electronics,East of USA,295.1,0,0,-0.6
Consumer Electronics,Eastern Asia,637.6,1,1,4.7
Consumer Electronics,Eastern Europe,652.5,0,1,3.4
Consumer Electronics,North Africa,547.6,1,0,-0.1
