Category Name,Order Region,actual_demand_7d,actual_stockout_occurred,actual_late_delivery,actual_delay_days
Accessories,Canada,207.1,0,0,-0.1
Accessories,Caribbean,628.8,0,1,3.3
Accessories,Central Africa,229.0,0,1,1.9
Accessories,Central America,375.8,1,1,3.5
Accessories,Central Asia,593.7,1,1,2.0
Accessories,East Africa,270.9,1,0,-0.6
Accessories,East of USA,478.6,0,0,-0.2
Accessories,Eastern Asia,580.9,1,0,-0.3
Accessories,Eastern Europe,458.9,1,1,3.4
Accessories,North Africa,611.9,0,1,5.4
As Seen on  TV!,Canada,156.8,0,0,-1.1
As Seen on  TV!,Caribbean,491.1,1,0,-1.8
As Seen on  TV!,Central Africa,537.9,0,1,1.7
As Seen on  TV!,Central America,141.7,0,1,3.5
As Seen on  TV!,Central Asia,596.6,1,0,-0.3
As Seen on  TV!,East Africa,516.3,1,1,5.0
As Seen on  TV!,East of USA,377.6,0,1,2.0
As Seen on  TV!,Eastern Asia,534.6,1,1,2.0
As Seen on  TV!,Eastern Europe,465.1,0,1,5.2
As Seen on  TV!,North Africa,647.1,1,1,3.3
Baby ,Canada,145.5,1,1,2.4
Baby ,Caribbean,480.9,0,1,3.6
Baby ,Central Africa,213.2,0,1,1.7
Baby ,Central America,298.9,0,0,-1.4
Baby ,Central Asia,413.2,0,1,1.2
Baby ,East Africa,362.8,0,1,2.1
Baby ,East of USA,303.3,0,0,-1.0
Baby ,Eastern Asia,372.1,0,1,1.7
Baby ,Eastern Europe,628.0,1,0,-0.4
Baby ,North Africa,131.0,1,1,1.7
Baseball & Softball,Canada,636.1,1,1,3.4
Baseball & Softball,Caribbean,525.7,0,0,-0.7
Baseball & Softball,Central Africa,510.3,0,1,3.4
Baseball & Softball,Central America,241.5,0,1,4.3
Baseball & Softball,Central Asia,264.0,1,1,2.9
Baseball & Softball,East Africa,294.7,0,0,-1.6
Baseball & Softball,East of USA,593.4,0,0,-1.9
Baseball & Softball,Eastern Asia,379.2,0,1,2.7
Baseball & Softball,Eastern Europe,343.4,0,0,-0.8
Baseball & Softball,North Africa,549.1,0,1,3.6
Basketball,Canada,299.0,1,1,3.5
Basketball,Caribbean,449.6,1,1,5.3
Basketball,Central Africa,626.8,1,1,4.2
Basketball,Central America,437.2,0,0,-1.1
Basketball,Central Asia,388.1,0,1,2.6
