Category Name,Order Region,actual_demand_7d,actual_stockout_occurred,actual_late_delivery,actual_delay_days
Accessories,Canada,626.7,1,0,-0.6
Accessories,Caribbean,570.9,0,0,-0.4
Accessories,Central Africa,371.9,0,0,-0.3
Accessories,Central America,487.0,0,1,2.7
Accessories,Central Asia,284.8,0,0,-1.5
Accessories,East Africa,595.6,0,1,5.0
Accessories,East of USA,613.3,1,1,2.1
Accessories,Eastern Asia,623.2,0,0,-0.3
Accessories,Eastern Europe,363.0,0,1,5.0
Accessories,North Africa,561.6,1,1,2.1
As Seen on  TV!,Canada,431.5,1,1,3.5
As Seen on  TV!,Caribbean,444.4,0,0,-1.4
As Seen on  TV!,Central Africa,525.5,0,1,2.8
As Seen on  TV!,Central America,563.9,1,1,4.7
As Seen on  TV!,Central Asia,382.1,0,0,-1.4
As Seen on  TV!,East Africa,591.7,0,1,1.6
As Seen on  TV!,East of USA,394.7,1,1,2.0
As Seen on  TV!,Eastern Asia,227.5,0,0,-0.3
As Seen on  TV!,Eastern Europe,444.0,0,1,3.2
As Seen on  TV!,North Africa,351.0,0,1,2.8
Baby ,Canada,369.1,0,1,5.1
Baby ,Caribbean,526.4,0,1,3.7
Baby ,Central Africa,498.2,0,0,-1.4
Baby ,Central America,349.8,1,1,2.1
Baby ,Central Asia,397.2,0,1,2.8
Baby ,East Africa,132.1,0,0,-1.8
Baby ,East of USA,327.5,1,0,-1.5
Baby ,Eastern Asia,383.0,1,1,1.2
Baby ,Eastern Europe,257.0,1,1,3.6
Baby ,North Africa,628.4,0,0,-1.9
Baseball & Softball,Canada,327.0,1,1,4.5
Baseball & Softball,Caribbean,335.4,0,0,-0.8
Baseball & Softball,Central Africa,513.6,0,1,4.5
Baseball & Softball,Central America,258.6,0,0,-0.2
Baseball & Softball,Central Asia,340.2,0,1,5.2
Baseball & Softball,East Africa,529.6,1,1,2.2
Baseball & Softball,East of USA,444.2,0,1,4.2
Baseball & Softball,Eastern Asia,241.2,0,1,1.7
Baseball & Softball,Eastern Europe,427.5,0,0,-1.3
Baseball & Softball,North Africa,217.3,0,0,-0.4
Basketball,Canada,348.6,1,1,3.9
Basketball,Caribbean,413.5,1,1,3.9
Basketball,Central Africa,449.9,0,1,1.2
Basketball,Central America,447.6,1,1,4.6
Basketball,Central Asia,391.6,1,1,4.8
Basketball,East Africa,607.8,0,0,-1.6
Basketball,East of USA,556.0,0,1,2.3
Basketball,Eastern Asia,260.4,0,0,-0.8
Basketball,Eastern Europe,467.6,0,0,-0.3
Basketball,North Africa,170.8,0,1,5.1
Books ,Canada,621.5,0,0,-0.1
Books ,Caribbean,273.5,1,0,-0.5
Books ,Central Africa,529.3,0,0,-1.7
Books ,Central America,507.9,1,1,2.1
Books ,Central Asia,645.4,0,1,5.1
Books ,East Africa,392.9,1,0,-1.5
Books ,East of USA,338.5,0,1,2.1
Books ,Eastern Asia,193.7,0,0,-0.8
Books ,Eastern Europe,402.6,0,0,-0.1
