Category Name,Order Region,actual_demand_7d,actual_stockout_occurred,actual_late_delivery,actual_delay_days
Accessories,Canada,221.4,0,0,-0.1
Accessories,Caribbean,225.3,1,1,2.9
Accessories,Central Africa,331.4,0,1,5.4
Accessories,Central America,649.5,0,0,-0.3
Accessories,Central Asia,645.1,0,0,-0.5
Accessories,East Africa,320.7,1,1,2.8
Accessories,East of USA,524.3,0,0,-1.7
Accessories,Eastern Asia,168.0,1,0,-1.4
Accessories,Eastern Europe,505.8,1,0,-1.3
Accessories,North Africa,330.1,0,0,-1.1
As Seen on  TV!,Canada,702.0,1,1,2.9
As Seen on  TV!,Caribbean,625.4,0,0,-0.0
As Seen on  TV!,Central Africa,280.7,1,0,-0.3
As Seen on  TV!,Central America,628.2,0,0,-1.2
As Seen on  TV!,Central Asia,320.8,1,1,2.5
As Seen on  TV!,East Africa,489.6,1,1,1.5
As Seen on  TV!,East of USA,146.2,1,0,-1.3
As Seen on  TV!,Eastern Asia,276.5,0,1,2.4
As Seen on  TV!,Eastern Europe,232.9,1,1,3.0
As Seen on  TV!,North Africa,478.3,0,1,1.2
Baby ,Canada,539.4,1,0,-1.0
Baby ,Caribbean,526.4,0,1,5.2
Baby ,Central Africa,510.2,1,1,5.3
Baby ,Central America,160.5,1,0,-0.8
Baby ,Central Asia,430.2,1,1,1.7
Baby ,East Africa,538.2,0,0,-1.3
Baby ,East of USA,684.1,0,0,-0.9
Baby ,Eastern Asia,176.3,1,1,2.3
Baby ,Eastern Europe,225.7,0,0,-1.5
Baby ,North Africa,194.1,0,1,4.9
Baseball & Softball,Canada,363.7,0,1,1.8
Baseball & Softball,Caribbean,461.3,1,1,2.7
Baseball & Softball,Central Africa,429.3,0,1,2.0
Baseball & Softball,Central America,230.7,1,1,4.0
Baseball & Softball,Central Asia,592.1,0,0,-0.3
Baseball & Softball,East Africa,231.8,0,1,2.8
Baseball & Softball,East of USA,593.3,1,0,-0.8
Baseball & Softball,Eastern Asia,222.0,0,1,5.4
Baseball & Softball,Eastern Europe,599.0,1,1,4.7
Baseball & Softball,North Africa,375.0,0,1,2.6
Basketball,Canada,364.4,0,0,-1.2
Basketball,Caribbean,479.6,1,1,4.1
Basketball,Central Africa,369.5,0,1,4.7
Basketball,Central America,547.3,1,1,5.3
Basketball,Central Asia,213.5,0,1,1.6
Basketball,East Africa,226.5,1,1,4.2
Basketball,East of USA,371.6,0,0,-1.1
Basketball,Eastern Asia,547.8,1,1,3.4
Basketball,Eastern Europe,480.6,1,0,-1.5
Basketball,North Africa,518.8,1,1,2.6
Books ,Canada,331.0,0,0,-0.0
Books ,Caribbean,232.4,1,0,-0.7
Books ,Central Africa,409.0,0,1,1.2
Books ,Central America,596.2,0,0,-0.9
Books ,Central Asia,546.4,0,0,-0.1
Books ,East Africa,677.1,1,1,3.2
Books ,East of USA,359.6,0,1,2.5
Books ,Eastern Asia,355.4,1,1,3.3
Books ,Eastern Europe,184.3,0,1,1.6
Books ,North Africa,718.0,1,1,3.1
Boxing & MMA,Canada,474.3,0,1,3.5
Boxing & MMA,Caribbean,337.8,0,0,-1.7
Boxing & MMA,Central Africa,297.0,1,1,1.8
Boxing & MMA,Central America,200.8,0,1,5.4
Boxing & MMA,Central Asia,385.1,0,1,2.7
Boxing & MMA,East Africa,440.9,0,0,-0.7
Boxing & MMA,East of USA,564.8,0,0,-1.9
Boxing & MMA,Eastern Asia,678.8,0,0,-0.9
Boxing & MMA,Eastern Europe,602.5,0,0,-1.1
Boxing & MMA,North Africa,215.1,0,1,5.3
CDs ,Canada,271.9,0,0,-1.0
CDs ,Caribbean,358.3,0,0,-1.5
CDs ,Central Africa,239.0,1,1,4.3
CDs ,Central America,133.6,1,1,4.1
CDs ,Central Asia,369.4,0,0,-1.1
CDs ,East Africa,366.3,0,1,4.7
CDs ,East of USA,653.8,0,0,-0.8
CDs ,Eastern Asia,272.0,1,1,2.0
CDs ,Eastern Europe,575.6,0,1,1.7
CDs ,North Africa,317.8,1,1,3.8
Cameras ,Canada,384.3,0,0,-0.6
Cameras ,Caribbean,192.5,1,1,1.8
Cameras ,Central Africa,175.0,0,0,-1.3
Cameras ,Central America,164.1,0,0,-0.6
Cameras ,Central Asia,245.5,0,0,-2.0
Cameras ,East Africa,440.9,0,1,1.9
Cameras ,East of USA,179.2,1,1,1.3
Cameras ,Eastern Asia,673.8,0,1,1.8
Cameras ,Eastern Europe,678.4,0,1,3.3
Cameras ,North Africa,210.8,0,1,2.5
Camping & Hiking,Canada,252.9,1,0,-0.1
Camping & Hiking,Caribbean,157.9,0,1,3.1
Camping & Hiking,Central Africa,326.8,0,1,2.6
