Category Name,Order Region,actual_demand_7d,actual_stockout_occurred,actual_late_delivery,actual_delay_days
Accessories,Canada,441.7,0,1,5.4
Accessories,Caribbean,400.5,1,0,-1.6
Accessories,Central Africa,561.8,0,1,5.0
Accessories,Central America,179.3,1,1,4.3
Accessories,Central Asia,201.7,0,0,-0.3
Accessories,East Africa,205.9,0,0,-0.2
Accessories,East of USA,378.4,1,1,4.8
Accessories,Eastern Asia,408.5,0,0,-1.4
Accessories,Eastern Europe,432.6,0,0,-1.6
Accessories,North Africa,468.4,0,1,3.9
As Seen on  TV!,Canada,463.4,0,1,4.2
As Seen on  TV!,Caribbean,373.4,1,0,-0.8
As Seen on  TV!,Central Africa,511.7,1,0,-1.7
As Seen on  TV!,Central America,128.5,0,0,-0.8
As Seen on  TV!,Central Asia,379.0,1,1,4.4
As Seen on  TV!,East Africa,385.5,1,0,-0.3
As Seen on  TV!,East of USA,143.6,0,0,-0.7
As Seen on  TV!,Eastern Asia,333.5,0,0,-0.9
As Seen on  TV!,Eastern Europe,548.1,0,0,-0.5
As Seen on  TV!,North Africa,184.2,0,0,-0.6
Baby ,Canada,141.0,0,1,1.2
Baby ,Caribbean,123.3,0,1,1.8
Baby ,Central Africa,429.8,0,0,-0.7
Baby ,Central America,219.2,0,0,-1.5
Baby ,Central Asia,217.9,1,0,-0.8
Baby ,East Africa,509.4,0,0,-1.9
Baby ,East of USA,211.9,0,1,4.4
Baby ,Eastern Asia,475.7,0,1,1.4
Baby ,Eastern Europe,277.6,0,0,-1.1
Baby ,North Africa,530.3,0,1,4.6
Baseball & Softball,Canada,503.8,0,0,-1.1
Baseball & Softball,Caribbean,171.1,0,0,-0.1
Baseball & Softball,Central Africa,328.3,1,1,1.6
Baseball & Softball,Central America,445.8,1,0,-1.1
Baseball & Softball,Central Asia,455.2,1,1,5.4
Baseball & Softball,East Africa,166.6,1,1,5.3
Baseball & Softball,East of USA,406.2,0,1,1.9
Baseball & Softball,Eastern Asia,159.2,0,1,2.2
Baseball & Softball,Eastern Europe,320.4,1,1,4.6
Baseball & Softball,North Africa,363.1,1,1,3.4
Basketball,Canada,153.4,0,1,2.2
Basketball,Caribbean,218.5,0,1,4.9
Basketball,Central Africa,361.3,0,0,-0.3
Basketball,Central America,130.4,0,0,-1.4
Basketball,Central Asia,210.2,1,1,2.1
Basketball,East Africa,540.0,1,0,-0.2
Basketball,East of USA,433.2,0,0,-1.5
Basketball,Eastern Asia,367.1,0,0,-1.7
Basketball,Eastern Europe,414.2,0,0,-0.5
Basketball,North Africa,127.3,0,0,-0.2
Books ,Canada,512.2,0,1,4.8
Books ,Caribbean,553.7,1,1,2.6
Books ,Central Africa,314.0,0,1,1.7
Books ,Central America,517.5,0,0,-1.2
Books ,Central Asia,433.9,0,1,1.5
Books ,East Africa,493.5,1,1,4.9
Books ,East of USA,361.2,1,1,2.6
Books ,Eastern Asia,193.8,1,1,1.9
Books ,Eastern Europe,309.3,1,0,-1.8
Books ,North Africa,549.3,0,1,5.3
Boxing & MMA,Canada,540.8,0,0,-1.5
Boxing & MMA,Caribbean,479.2,0,1,4.4
Boxing & MMA,Central Africa,269.0,0,0,-0.1
Boxing & MMA,Central America,518.1,1,1,3.2
Boxing & MMA,Central Asia,170.2,0,1,3.9
Boxing & MMA,East Africa,176.7,0,1,3.8
Boxing & MMA,East of USA,415.7,0,1,2.4
Boxing & MMA,Eastern Asia,435.1,1,0,-1.1
Boxing & MMA,Eastern Europe,560.4,0,1,4.9
Boxing & MMA,North Africa,173.6,0,0,-1.7
CDs ,Canada,221.3,1,1,2.6
CDs ,Caribbean,114.6,1,0,-0.4
CDs ,Central Africa,244.3,0,0,-1.6
CDs ,Central America,465.1,1,0,-0.2
CDs ,Central Asia,148.8,0,0,-1.3
CDs ,East Africa,356.9,0,0,-0.8
CDs ,East of USA,165.1,1,0,-1.9
CDs ,Eastern Asia,185.4,0,1,2.6
CDs ,Eastern Europe,323.7,0,0,-0.9
CDs ,North Africa,487.0,0,1,3.3
Cameras ,Canada,513.7,1,1,3.2
Cameras ,Caribbean,430.2,0,1,3.9
Cameras ,Central Africa,298.6,0,1,5.1
Cameras ,Central America,392.0,0,0,-1.3
Cameras ,Central Asia,259.6,0,1,5.1
Cameras ,East Africa,216.4,0,1,3.0
Cameras ,East of USA,489.2,0,1,2.7
Cameras ,Eastern Asia,235.8,0,0,-1.2
Cameras ,Eastern Europe,248.5,0,1,3.2
Cameras ,North Africa,505.7,1,1,3.1
Camping & Hiking,Canada,424.6,0,0,-1.7
Camping & Hiking,Caribbean,576.2,0,0,-0.9
Camping & Hiking,Central Africa,408.5,1,0,-1.8
Camping & Hiking,Central America,471.0,1,1,1.4
Camping & Hiking,Central Asia,112.0,0,1,1.4
Camping & Hiking,East Africa,359.7,1,0,-0.1
Camping & Hiking,East of USA,404.8,0,0,-0.9
Camping & Hiking,Eastern Asia,262.5,0,1,2.1
Camping & Hiking,Eastern Europe,463.4,1,1,5.3
Camping & Hiking,North Africa,272.9,0,0,-0.6
Cardio Equipment,Canada,231.4,1,0,-0.4
Cardio Equipment,Caribbean,534.7,0,1,2.9
Cardio Equipment,Central Africa,150.8,0,0,-0.3
Cardio Equipment,Central America,211.8,0,0,-0.5
Cardio Equipment,Central Asia,439.2,0,1,5.0
Cardio Equipment,East Africa,388.5,1,0,-0.9
Cardio Equipment,East of USA,214.2,1,1,3.6
Cardio Equipment,Eastern Asia,487.3,1,1,1.5
Cardio Equipment,Eastern Europe,457.1,0,1,5.3
Cardio Equipment,North Africa,524.8,1,1,2.8
Children's Clothing,Canada,417.2,0,0,-0.6
Children's Clothing,Caribbean,509.7,0,0,-0.2
Children's Clothing,Central Africa,220.4,0,1,2.7
Children's Clothing,Central America,394.4,0,0,-0.7
Children's Clothing,Central Asia,264.9,0,0,-1.5
Children's Clothing,East Africa,259.3,1,1,4.9
Children's Clothing,East of USA,177.8,0,0,-0.1
Children's Clothing,Eastern Asia,545.8,0,0,-0.9
Children's Clothing,Eastern Europe,159.5,1,0,-1.6
Children's Clothing,North Africa,130.7,0,1,4.5
Cleats,Canada,170.8,0,0,-0.7
Cleats,Caribbean,241.2,1,1,1.9
Cleats,Central Africa,169.1,1,1,4.0
Cleats,Central America,571.5,0,0,-0.7
Cleats,Central Asia,536.7,0,0,-1.1
Cleats,East Africa,271.7,1,1,4.7
Cleats,East of USA,186.2,1,1,5.0
Cleats,Eastern Asia,505.1,1,1,3.9
Cleats,Eastern Europe,357.2,0,1,5.0
Cleats,North Africa,161.1,0,1,2.0
Computers,Canada,261.6,0,1,5.3
Computers,Caribbean,435.7,1,0,-1.2
Computers,Central Africa,286.9,0,0,-0.1
Computers,Central America,333.6,1,0,-0.5
Computers,Central Asia,366.8,1,0,-0.5
Computers,East Africa,268.1,1,1,1.5
Computers,East of USA,374.4,0,1,3.6
Computers,Eastern Asia,414.2,0,1,5.0
Computers,Eastern Europe,361.9,1,0,-0.1
Computers,North Africa,165.5,0,0,-0.9
Consumer Electronics,Canada,560.5,1,1,1.9
Consumer Electronics,Caribbean,245.5,0,0,-0.1
Consumer Electronics,Central Africa,540.2,1,0,-1.0
Consumer Electronics,Central America,529.1,1,0,-1.0
Consumer Electronics,Central Asia,550.1,0,1,3.1
Consumer Electronics,East Africa,414.1,1,1,3.8
Consumer Electronics,East of USA,253.3,1,0,-0.6
Consumer Electronics,Eastern Asia,569.6,1,1,4.6
Consumer Electronics,Eastern Europe,473.7,1,0,-1.5
Consumer Electronics,North Africa,460.2,0,0,-1.1
