Category Name,Order Region,actual_demand_7d,actual_stockout_occurred,actual_late_delivery,actual_delay_days
Accessories,Canada,182.8,0,1,3.3
Accessories,Caribbean,616.9,1,0,-1.2
Accessories,Central Africa,372.1,1,0,-0.8
Accessories,Central America,131.5,0,1,4.6
Accessories,Central Asia,301.8,0,0,-1.5
Accessories,East Africa,238.9,1,1,4.4
Accessories,East of USA,371.7,0,1,1.8
Accessories,Eastern Asia,341.5,0,1,3.1
Accessories,Eastern Europe,158.8,0,0,-1.0
Accessories,North Africa,395.8,0,1,1.5
As Seen on  TV!,Canada,481.1,0,1,4.0
As Seen on  TV!,Caribbean,580.0,0,1,4.4
As Seen on  TV!,Central Africa,453.9,0,0,-1.3
As Seen on  TV!,Central America,583.2,0,0,-1.5
As Seen on  TV!,Central Asia,163.7,1,0,-0.0
As Seen on  TV!,East Africa,592.6,0,1,4.5
As Seen on  TV!,East of USA,299.1,1,1,3.2
As Seen on  TV!,Eastern Asia,400.7,0,0,-0.4
As Seen on  TV!,Eastern Europe,522.4,0,1,2.9
As Seen on  TV!,North Africa,228.7,1,1,2.0
Baby ,Canada,286.5,0,1,3.9
Baby ,Caribbean,295.8,0,0,-1.6
Baby ,Central Africa,359.4,1,0,-1.7
Baby ,Central America,134.5,0,1,3.3
Baby ,Central Asia,554.5,0,0,-1.4
Baby ,East Africa,154.4,0,1,5.0
Baby ,East of USA,359.8,0,1,5.5
Baby ,Eastern Asia,213.6,0,0,-1.4
Baby ,Eastern Europe,555.8,0,1,3.6
Baby ,North Africa,234.9,0,0,-2.0
Baseball & Softball,Canada,247.8,1,1,5.0
Baseball & Softball,Caribbean,235.1,0,1,4.6
Baseball & Softball,Central Africa,365.7,1,1,1.9
Baseball & Softball,Central America,306.2,0,1,3.3
Baseball & Softball,Central Asia,130.3,1,0,-1.0
Baseball & Softball,East Africa,292.6,0,1,3.3
Baseball & Softball,East of USA,511.2,1,0,-0.3
Baseball & Softball,Eastern Asia,131.3,1,1,3.1
Baseball & Softball,Eastern Europe,266.9,0,0,-1.4
Baseball & Softball,North Africa,288.6,0,0,-1.8
Basketball,Canada,334.2,0,1,3.7
Basketball,Caribbean,225.8,0,0,-0.1
Basketball,Central Africa,560.6,0,1,3.1
Basketball,Central America,331.4,1,1,4.3
Basketball,Central Asia,584.4,0,1,1.8
Basketball,East Africa,149.1,1,1,2.4
Basketball,East of USA,219.4,1,0,-1.5
Basketball,Eastern Asia,299.7,0,0,-1.7
Basketball,Eastern Europe,324.5,1,0,-0.7
Basketball,North Africa,290.9,0,0,-0.3
Books ,Canada,528.1,0,1,2.1
Books ,Caribbean,600.9,0,1,5.4
Books ,Central Africa,575.5,0,1,1.7
Books ,Central America,479.8,0,0,-0.9
Books ,Central Asia,224.4,0,1,4.9
Books ,East Africa,180.0,0,0,-0.5
Books ,East of USA,203.1,1,1,4.6
Books ,Eastern Asia,578.8,0,0,-0.5
Books ,Eastern Europe,488.9,0,0,-1.5
Books ,North Africa,299.9,1,0,-1.9
Boxing & MMA,Canada,368.7,0,0,-1.1
Boxing & MMA,Caribbean,504.1,0,0,-1.6
Boxing & MMA,Central Africa,196.9,1,1,4.0
Boxing & MMA,Central America,527.8,1,1,4.2
Boxing & MMA,Central Asia,408.2,1,0,-1.0
Boxing & MMA,East Africa,335.8,0,1,4.0
Boxing & MMA,East of USA,250.1,1,0,-0.5
Boxing & MMA,Eastern Asia,504.3,0,1,4.1
Boxing & MMA,Eastern Europe,409.4,0,1,2.1
Boxing & MMA,North Africa,250.5,1,1,5.1
CDs ,Canada,248.0,0,0,-1.3
CDs ,Caribbean,375.9,0,0,-1.5
CDs ,Central Africa,277.5,0,1,4.0
CDs ,Central America,300.6,0,0,-0.3
CDs ,Central Asia,471.1,0,1,1.5
CDs ,East Africa,568.5,0,0,-1.9
CDs ,East of USA,277.5,1,1,1.3
CDs ,Eastern Asia,260.6,0,0,-1.5
CDs ,Eastern Europe,542.0,0,0,-0.9
CDs ,North Africa,235.0,1,1,2.8
Cameras ,Canada,325.2,1,1,4.4
Cameras ,Caribbean,283.0,0,1,5.4
Cameras ,Central Africa,537.3,0,0,-1.4
Cameras ,Central America,523.0,0,0,-1.6
Cameras ,Central Asia,564.6,0,1,2.5
Cameras ,East Africa,336.3,0,1,3.8
Cameras ,East of USA,176.5,0,1,4.8
Cameras ,Eastern Asia,553.9,0,0,-0.3
Cameras ,Eastern Europe,370.6,0,0,-0.9
Cameras ,North Africa,544.3,0,0,-0.9
Camping & Hiking,Canada,429.0,1,1,2.7
Camping & Hiking,Caribbean,447.7,0,0,-0.8
Camping & Hiking,Central Africa,308.1,0,1,5.4
Camping & Hiking,Central America,342.2,0,1,2.4
Camping & Hiking,Central Asia,561.1,1,1,1.8
Camping & Hiking,East Africa,516.2,0,1,3.9
Camping & Hiking,East of USA,248.9,1,0,-2.0
Camping & Hiking,Eastern Asia,332.8,0,0,-1.1
Camping & Hiking,Eastern Europe,385.8,0,0,-1.8
Camping & Hiking,North Africa,207.4,0,1,3.7
Cardio Equipment,Canada,192.8,1,1,2.9
Cardio Equipment,Caribbean,235.2,0,0,-1.5
Cardio Equipment,Central Africa,600.4,1,0,-0.7
Cardio Equipment,Central America,472.3,1,0,-0.3
Cardio Equipment,Central Asia,271.6,1,1,3.0
Cardio Equipment,East Africa,197.8,1,1,4.4
Cardio Equipment,East of USA,410.5,1,0,-0.7
Cardio Equipment,Eastern Asia,263.8,1,1,3.9
Cardio Equipment,Eastern Europe,228.3,0,0,-1.0
Cardio Equipment,North Africa,438.4,0,0,-1.6
Children's Clothing,Canada,562.0,0,0,-0.7
Children's Clothing,Caribbean,533.1,0,0,-1.5
Children's Clothing,Central Africa,427.6,1,1,3.7
Children's Clothing,Central America,453.2,0,1,3.4
Children's Clothing,Central Asia,269.4,1,1,1.3
Children's Clothing,East Africa,582.3,1,1,4.6
Children's Clothing,East of USA,551.2,1,1,5.4
Children's Clothing,Eastern Asia,439.8,0,1,2.2
Children's Clothing,Eastern Europe,489.7,1,1,2.9
Children's Clothing,North Africa,367.2,1,1,3.3
Cleats,Canada,565.4,0,1,5.4
Cleats,Caribbean,207.3,1,1,5.4
Cleats,Central Africa,395.0,0,1,4.8
Cleats,Central America,578.3,0,0,-1.6
Cleats,Central Asia,459.5,1,1,3.7
Cleats,East Africa,402.0,0,1,2.1
Cleats,East of USA,394.1,0,0,-0.5
Cleats,Eastern Asia,148.0,0,0,-1.5
Cleats,Eastern Europe,215.3,1,1,4.4
Cleats,North Africa,642.2,0,0,-1.9
Computers,Canada,194.7,0,1,3.7
Computers,Caribbean,366.2,0,1,3.1
Computers,Central Africa,519.2,0,0,-1.2
Computers,Central America,623.2,0,0,-1.0
Computers,Central Asia,445.2,1,1,1.3
Computers,East Africa,586.4,1,0,-1.0
Computers,East of USA,520.3,0,0,-0.5
Computers,Eastern Asia,428.1,0,1,4.1
Computers,Eastern Europe,239.4,1,1,5.2
Computers,North Africa,313.9,0,0,-0.8
Consumer Electronics,Canada,255.0,1,0,-1.4
Consumer Electronics,Caribbean,188.2,0,0,-1.9
Consumer Electronics,Central Africa,176.5,0,1,1.8
Consumer Electronics,Central America,621.8,1,1,2.4
Consumer Electronics,Central Asia,519.6,0,1,4.8
Consumer Electronics,East Africa,533.7,0,0,-1.3
Consumer Electronics,East of USA,438.8,0,0,-0.4
Consumer Electronics,Eastern Asia,188.7,1,0,-0.6
Consumer Electronics,Eastern Europe,182.4,0,1,2.4
Consumer Electronics,North Africa,268.1,0,0,-0.6
