order date (DateOrders),Order Item Id,Department Name,Category Name,Order Region,Market,Shipping Mode,Days for shipment (scheduled),Days for shipping (real),Order Item Quantity,Order Item Product Price,Order Item Discount,Product Card Id,Late_delivery_risk
06/01/2018 00:00,27555626,Apparel,Indoor/Outdoor Games,South America,Europe,Second Class,2,1,5,53.45,0.233,1104,0
06/01/2018 00:00,27555627,Toy Store,Strength Training,West Asia,Europe,First Class,2,2,4,38.36,0.232,1785,0
06/01/2018 00:00,27555628,Fan Shop,Fishing,West Africa,USCA,Standard Class,4,4,2,129.51,0.241,1493,0
06/01/2018 00:00,27555629,Toy Store,Electronics,Western Europe,Pacific Asia,Standard Class,4,3,1,36.18,0.087,1475,0
06/01/2018 00:00,27555630,Fitness,Women's Apparel,Western Europe,LATAM,Standard Class,5,5,3,59.27,0.171,1077,0
06/01/2018 00:00,27555631,Health and Beauty,Strength Training,South America,Europe,First Class,1,1,4,136.73,0.197,1229,0
06/01/2018 00:00,27555632,Outdoors,Strength Training,Eastern Asia,Africa,First Class,2,3,1,143.54,0.087,1377,1
06/01/2018 00:00,27555633,Health and Beauty,Fishing,North America,LATAM,Second Class,3,6,5,110.07,0.038,1076,1
06/01/2018 00:00,27555634,Fitness,Water Sports,South America,LATAM,Standard Class,5,6,4,197.94,0.197,1745,1
06/01/2018 00:00,27555635,Pet Shop,Women's Apparel,West Asia,Africa,Standard Class,4,6,1,116.24,0.101,1366,1
06/01/2018 00:00,27555636,Golf Shop,Indoor/Outdoor Games,Southeast Asia,Pacific Asia,First Class,1,1,4,40.28,0.075,1611,0
06/01/2018 00:00,27555637,Golf Shop,Electronics,West Africa,Pacific Asia,First Class,1,1,1,48.01,0.105,1007,0
06/01/2018 00:00,27555638,Golf Shop,Cardio Equipment,Eastern Europe,Europe,Standard Class,5,8,1,103.7,0.224,1435,1
06/01/2018 00:00,27555639,Technology,Strength Training,Western Europe,USCA,Standard Class,5,8,2,75.58,0.233,1150,1
06/01/2018 00:00,27555640,Health and Beauty,Water Sports,North America,USCA,Second Class,2,3,4,187.63,0.224,1852,1
06/01/2018 00:00,27555641,Fan Shop,Indoor/Outdoor Games,Oceania,USCA,Second Class,2,4,1,52.17,0.062,1739,1
06/01/2018 00:00,27555642,Fan Shop,Indoor/Outdoor Games,Eastern Europe,Europe,Standard Class,4,4,1,38.86,0.122,1510,0
06/01/2018 00:00,27555643,Fan Shop,Men's Footwear,Oceania,Europe,First Class,2,3,1,180.1,0.128,1267,1
06/01/2018 00:00,27555644,Golf Shop,Fishing,Southeast Asia,Europe,Standard Class,4,4,5,26.66,0.207,1704,0
06/01/2018 00:00,27555645,Outdoors,Camping & Hiking,Eastern Asia,Pacific Asia,Standard Class,4,7,4,82.96,0.001,1364,1
06/01/2018 00:00,27555646,Apparel,Men's Footwear,West Africa,Pacific Asia,First Class,2,4,2,142.03,0.103,1756,1
06/01/2018 00:00,27555647,Technology,Fishing,Western Europe,Pacific Asia,First Class,1,1,1,31.98,0.135,1146,0
06/01/2018 00:00,27555648,Fan Shop,Cardio Equipment,Southeast Asia,Pacific Asia,Second Class,3,6,1,57.61,0.227,1688,1
06/01/2018 00:00,27555649,Toy Store,Cardio Equipment,Oceania,LATAM,Standard Class,4,6,2,118.59,0.146,1428,1
06/01/2018 00:00,27555650,Outdoors,Men's Footwear,West Asia,Europe,First Class,2,5,1,14.97,0.178,1452,1
06/01/2018 00:00,27555651,Fan Shop,Strength Training,South America,USCA,Standard Class,5,5,1,13.87,0.037,1552,0
06/01/2018 00:00,27555652,Health and Beauty,Women's Apparel,Eastern Europe,Pacific Asia,Same Day,1,1,3,163.52,0.238,1716,0
06/01/2018 00:00,27555653,Technology,Camping & Hiking,Central America,Africa,Standard Class,5,6,1,148.21,0.131,1253,1
06/01/2018 00:00,27555654,Toy Store,Electronics,South America,Europe,Same Day,0,1,3,67.15,0.141,1194,1
