order date (DateOrders),Order Item Id,Department Name,Category Name,Order Region,Market,Shipping Mode,Days for shipment (scheduled),Days for shipping (real),Order Item Quantity,Order Item Product Price,Order Item Discount,Product Card Id,Late_delivery_risk
02/01/2018 00:00,84990607,Technology,Men's Footwear,West Asia,Europe,Same Day,0,0,1,97.35,0.078,1439,0
02/01/2018 00:00,84990608,Outdoors,Men's Footwear,West Asia,Europe,First Class,1,3,2,162.25,0.208,1941,1
02/01/2018 00:00,84990609,Golf Shop,Indoor/Outdoor Games,West Asia,Africa,Same Day,0,0,1,85.2,0.085,1341,0
02/01/2018 00:00,84990610,Pet Shop,Men's Footwear,North America,Africa,Second Class,3,4,5,76.71,0.161,1151,1
02/01/2018 00:00,84990611,Outdoors,Indoor/Outdoor Games,Oceania,Africa,Second Class,2,1,3,43.66,0.124,1772,0
02/01/2018 00:00,84990612,Toy Store,Electronics,Southeast Asia,Pacific Asia,Second Class,3,2,1,22.97,0.076,1281,0
02/01/2018 00:00,84990613,Pet Shop,Men's Footwear,South America,USCA,Same Day,0,0,4,20.81,0.019,1884,0
02/01/2018 00:00,84990614,Toy Store,Electronics,North America,USCA,Same Day,0,0,4,95.45,0.163,1329,0
02/01/2018 00:00,84990615,Fan Shop,Cardio Equipment,Central America,Pacific Asia,Standard Class,4,5,3,17.44,0.248,1536,1
02/01/2018 00:00,84990616,Technology,Water Sports,South America,USCA,Same Day,1,2,1,138.99,0.158,1342,1
02/01/2018 00:00,84990617,Pet Shop,Camping & Hiking,South America,Pacific Asia,Second Class,3,2,2,25.49,0.229,1317,0
02/01/2018 00:00,84990618,Apparel,Electronics,Central America,Pacific Asia,Same Day,1,1,3,164.51,0.207,1756,0
02/01/2018 00:00,84990619,Fitness,Strength Training,Southeast Asia,Europe,First Class,2,3,1,44.25,0.237,1497,1
02/01/2018 00:00,84990620,Apparel,Men's Footwear,South America,Europe,Standard Class,5,8,2,176.51,0.149,1157,1
02/01/2018 00:00,84990621,Toy Store,Women's Apparel,Eastern Europe,Europe,Same Day,1,0,1,138.51,0.111,1291,0
02/01/2018 00:00,84990622,Footwear,Strength Training,Eastern Asia,Pacific Asia,Same Day,0,0,5,79.89,0.246,1472,0
02/01/2018 00:00,84990623,Pet Shop,Strength Training,West Asia,LATAM,Second Class,2,2,1,175.87,0.12,1380,0
02/01/2018 00:00,84990624,Pet Shop,Men's Footwear,South America,Europe,Second Class,3,3,1,95.37,0.208,1093,0
02/01/2018 00:00,84990625,Health and Beauty,Water Sports,Western Europe,USCA,Standard Class,5,7,1,105.38,0.249,1383,1
02/01/2018 00:00,84990626,Golf Shop,Water Sports,Oceania,LATAM,Standard Class,5,4,1,184.31,0.208,1777,0
02/01/2018 00:00,84990627,Toy Store,Cleats,Central America,Europe,First Class,1,3,1,168.64,0.182,1540,1
02/01/2018 00:00,84990628,Footwear,Fishing,Central America,Europe,Second Class,3,3,2,131.4,0.016,1856,0
02/01/2018 00:00,84990629,Pet Shop,Electronics,Eastern Asia,LATAM,First Class,2,2,1,10.3,0.143,1191,0
02/01/2018 00:00,84990630,Pet Shop,Water Sports,Central America,Africa,Standard Class,5,6,1,175.93,0.097,1382,1
02/01/2018 00:00,84990631,Technology,Men's Footwear,Southeast Asia,LATAM,Standard Class,5,8,1,35.35,0.085,1658,1
02/01/2018 00:00,84990632,Health and Beauty,Cardio Equipment,Oceania,LATAM,Standard Class,5,7,1,17.03,0.198,1907,1
02/01/2018 00:00,84990633,Pet Shop,Camping & Hiking,North America,USCA,First Class,1,4,1,153.13,0.089,1799,1
02/01/2018 00:00,84990634,Technology,Fishing,Central America,Pacific Asia,Same Day,1,4,5,151.23,0.097,1997,1
02/01/2018 00:00,84990635,Health and Beauty,Water Sports,North America,Pacific Asia,Standard Class,5,6,2,25.0,0.206,1558,1
02/01/2018 00:00,84990636,Golf Shop,Water Sports,South America,Pacific Asia,Same Day,1,0,1,41.66,0.112,1744,0
02/01/2018 00:00,84990637,Toy Store,Camping & Hiking,South America,Europe,Standard Class,5,8,4,79.03,0.17,1975,1
02/01/2018 00:00,84990638,Health and Beauty,Cleats,Oceania,Europe,Second Class,3,2,5,78.81,0.008,1157,0
02/01/2018 00:00,84990639,Technology,Cardio Equipment,Central America,Africa,Second Class,3,4,2,85.63,0.062,1116,1
02/01/2018 00:00,84990640,Health and Beauty,Strength Training,West Asia,Africa,Standard Class,5,7,3,157.24,0.054,1626,1
02/01/2018 00:00,84990641,Footwear,Men's Footwear,Oceania,Europe,Same Day,0,0,1,180.75,0.022,1698,0
02/01/2018 00:00,84990642,Technology,Men's Footwear,North America,Africa,First Class,2,4,3,171.76,0.232,1653,1
02/01/2018 00:00,84990643,Pet Shop,Indoor/Outdoor Games,Central America,LATAM,Second Class,2,5,1,160.17,0.139,1377,1
02/01/2018 00:00,84990644,Apparel,Electronics,Central America,Europe,First Class,2,5,3,199.92,0.131,1787,1
02/01/2018 00:00,84990645,Golf Shop,Women's Apparel,Southeast Asia,Europe,Same Day,1,1,1,139.22,0.219,1798,0
02/01/2018 00:00,84990646,Apparel,Camping & Hiking,North America,Europe,Standard Class,4,7,1,67.78,0.234,1230,1
02/01/2018 00:00,84990647,Outdoors,Men's Footwear,South America,LATAM,First Class,1,4,2,128.75,0.023,1656,1
02/01/2018 00:00,84990648,Apparel,Women's Apparel,West Africa,Africa,First Class,1,0,1,166.79,0.011,1656,0
02/01/2018 00:00,84990649,Footwear,Electronics,West Asia,Africa,Standard Class,5,8,1,178.91,0.16,1309,1
02/01/2018 00:00,84990650,Fitness,Fishing,Eastern Europe,Europe,Standard Class,4,7,1,93.53,0.051,1621,1
02/01/2018 00:00,84990651,Technology,Water Sports,West Asia,LATAM,First Class,1,2,1,70.63,0.067,1253,1
02/01/2018 00:00,84990652,Outdoors,Camping & Hiking,West Africa,USCA,Second Class,2,1,5,164.56,0.18,1194,0
02/01/2018 00:00,84990653,Pet Shop,Cardio Equipment,Eastern Europe,Pacific Asia,Same Day,0,2,1,27.11,0.114,1246,1
02/01/2018 00:00,84990654,Fan Shop,Cleats,South America,USCA,Same Day,1,3,4,111.97,0.108,1903,1
02/01/2018 00:00,84990655,Fitness,Water Sports,Western Europe,USCA,Standard Class,4,3,1,78.88,0.097,1461,0
02/01/2018 00:00,84990656,Toy Store,Electronics,Central America,LATAM,Standard Class,5,5,5,80.91,0.139,1374,0
02/01/2018 00:00,84990657,Toy Store,Strength Training,West Asia,Africa,Standard Class,4,7,3,17.39,0.201,1531,1
02/01/2018 00:00,84990658,Pet Shop,Women's Apparel,Southeast Asia,Africa,First Class,1,4,2,84.66,0.211,1607,1
02/01/2018 00:00,84990659,Pet Shop,Cardio Equipment,West Africa,Pacific Asia,Same Day,0,3,3,79.99,0.245,1597,1
02/01/2018 00:00,84990660,Fan Shop,Electronics,Eastern Europe,Pacific Asia,Second Class,2,1,1,120.87,0.157,1634,0
02/01/2018 00:00,84990661,Apparel,Indoor/Outdoor Games,Western Europe,Africa,Standard Class,4,7,1,13.6,0.038,1707,1
02/01/2018 00:00,84990662,Toy Store,Cardio Equipment,Western Europe,LATAM,Second Class,3,6,1,199.64,0.094,1979,1
