order date (DateOrders),Order Item Id,Department Name,Category Name,Order Region,Market,Shipping Mode,Days for shipment (scheduled),Days for shipping (real),Order Item Quantity,Order Item Product Price,Order Item Discount,Product Card Id,Late_delivery_risk
05/01/2018 00:00,27279550,Apparel,Electronics,Oceania,Europe,Same Day,0,0,1,35.67,0.046,1149,0
05/01/2018 00:00,27279551,Golf Shop,Indoor/Outdoor Games,South America,LATAM,First Class,1,4,1,161.75,0.185,1130,1
05/01/2018 00:00,27279552,Footwear,Indoor/Outdoor Games,South America,Africa,First Class,1,4,1,95.44,0.01,1101,1
05/01/2018 00:00,27279553,Golf Shop,Indoor/Outdoor Games,North America,USCA,Same Day,0,2,3,132.58,0.037,1369,1
05/01/2018 00:00,27279554,Fitness,Electronics,Eastern Europe,Europe,First Class,2,1,1,44.42,0.165,1620,0
05/01/2018 00:00,27279555,Outdoors,Indoor/Outdoor Games,West Asia,Pacific Asia,Same Day,1,4,1,55.41,0.036,1143,1
05/01/2018 00:00,27279556,Outdoors,Fishing,Oceania,LATAM,Standard Class,4,5,4,72.74,0.039,1290,1
05/01/2018 00:00,27279557,Fan Shop,Water Sports,South America,Europe,First Class,2,4,1,65.74,0.173,1375,1
05/01/2018 00:00,27279558,Technology,Fishing,Eastern Asia,Pacific Asia,Same Day,0,0,1,87.71,0.017,1254,0
05/01/2018 00:00,27279559,Technology,Indoor/Outdoor Games,Southeast Asia,Europe,Standard Class,5,6,1,148.2,0.003,1681,1
05/01/2018 00:00,27279560,Fitness,Cardio Equipment,Central America,Africa,Standard Class,4,3,1,119.33,0.127,1812,0
05/01/2018 00:00,27279561,Footwear,Electronics,Central America,Africa,First Class,2,3,5,62.0,0.005,1651,1
05/01/2018 00:00,27279562,Apparel,Electronics,Oceania,LATAM,Standard Class,4,6,1,68.31,0.045,1794,1
05/01/2018 00:00,27279563,Pet Shop,Strength Training,South America,Pacific Asia,Second Class,2,5,3,133.48,0.1,1001,1
05/01/2018 00:00,27279564,Footwear,Cardio Equipment,Eastern Europe,LATAM,Standard Class,4,6,3,174.93,0.071,1753,1
05/01/2018 00:00,27279565,Golf Shop,Cardio Equipment,Eastern Asia,Pacific Asia,Second Class,2,3,3,133.7,0.128,1749,1
05/01/2018 00:00,27279566,Outdoors,Women's Apparel,West Asia,Europe,Standard Class,4,7,1,175.61,0.036,1210,1
05/01/2018 00:00,27279567,Outdoors,Fishing,Western Europe,Pacific Asia,First Class,1,2,2,159.6,0.105,1738,1
05/01/2018 00:00,27279568,Pet Shop,Cardio Equipment,Southeast Asia,USCA,Second Class,3,3,1,22.58,0.081,1581,0
05/01/2018 00:00,27279569,Outdoors,Camping & Hiking,Eastern Asia,Pacific Asia,Second Class,2,1,1,137.08,0.042,1945,0
05/01/2018 00:00,27279570,Technology,Strength Training,Western Europe,USCA,Standard Class,5,4,1,67.07,0.113,1163,0
05/01/2018 00:00,27279571,Golf Shop,Indoor/Outdoor Games,Western Europe,LATAM,Second Class,2,5,1,21.58,0.17,1382,1
05/01/2018 00:00,27279572,Apparel,Electronics,Oceania,Africa,Same Day,1,3,1,194.53,0.018,1014,1
05/01/2018 00:00,27279573,Technology,Cardio Equipment,West Asia,Pacific Asia,Same Day,0,0,1,101.92,0.136,1386,0
05/01/2018 00:00,27279574,Pet Shop,Women's Apparel,West Africa,LATAM,Standard Class,5,5,1,181.23,0.055,1409,0
05/01/2018 00:00,27279575,Apparel,Electronics,Eastern Asia,Africa,Same Day,1,2,4,175.35,0.153,1909,1
05/01/2018 00:00,27279576,Fan Shop,Cleats,Oceania,USCA,Same Day,0,3,1,52.37,0.191,1992,1
05/01/2018 00:00,27279577,Technology,Cleats,West Africa,Pacific Asia,Same Day,0,0,1,119.35,0.158,1029,0
